z,district,schoolid,sd10a_base,sd10b_base,sd10c_base,sd10d_base,sd10e_base,sd10f_base,sd10g_base,sd10h_base,z_ses_indonesian_base,z_ses_math_base,z_ses_natscience_base,z_ses_socscience_base,girl,quiet_study,z_effort_base,z_belonging_base,z_selfesteem_base,z_perfgoal_base,z_perseverance_base,z_growthm_base,z_learngoal_base,urban,teach_growthm_base,teach_fail_enhance_base,teach_self_efficacy_base,z_nes_school_mean_base
1,7,101776,1,0,0,0,1,1,0,0,-1.3767426029240264,0.08839233640387882,-0.4169957792567464,-0.44301687987604427,1,-0.34438868010088847,0.33450001232535714,0.6314604989887566,-0.838457908223799,-0.6980920677581981,-0.24317317146620673,0.056943514243038514,-0.5837701395472165,0,-1.0036351317822978,0.9041227451922766,1.934006746149324,-0.2850131531855554
1,7,101776,0,1,0,0,1,1,0,0,-2.0708456487682008,0.5266830665569303,-0.09515291552492071,-0.44301687987604427,0,-0.34438868010088847,-0.1394685523859095,-0.43326150325892365,-0.06905630953004825,0.055235262207713756,0.5733572559894649,1.893050449761667,-0.5837701395472165,0,-1.0036351317822978,0.9041227451922766,1.934006746149324,-0.2850131531855554
1,7,101776,1,0,0,1,1,1,0,0,-1.0296910800019394,-0.057704578271926155,-0.5779172367012353,-0.094826756446398,0,-0.34438868010088847,-1.0874059958477102,-0.7881690189128256,-0.4537571275914517,-1.4514196671079287,-1.876234041317348,-1.167127714419271,-0.00824715896555335,0,-1.0036351317822978,0.9041227451922766,1.934006746149324,-0.2850131531855554
1,7,101776,1,0,0,0,1,1,0,1,-0.5091138564277602,-0.057704578271926155,-0.5779172367012353,-0.094826756446398,0,-0.34438868010088847,0.33450001232535714,0.6314604989887566,0.31564449355973273,0.8085628914889799,0.16509204973152805,-0.5550921407991884,-0.00824715896555335,0,-1.0036351317822978,0.9041227451922766,1.934006746149324,-0.2850131531855554
1,7,101776,1,0,0,1,1,1,0,0,-1.7237941258461136,-0.057704578271926155,-0.4169957792567464,-0.268921825516625,0,-0.34438868010088847,-2.9832806734118,-1.8528910211605059,-0.06905630953004825,-0.6980920677581981,-2.284499396973264,-1.167127714419271,-2.3103381630287263,0,-1.0036351317822978,0.9041227451922766,1.934006746149324,-0.2850131531855554
1,7,101776,1,0,0,1,1,1,0,1,-2.0708456487682008,0.08839233640387882,-0.5779172367012353,-0.094826756446398,0,-0.34438868010088847,0.33450001232535714,0.6314604989887566,0.31564449355973273,0.8085628914889799,0.16509204973152805,-0.5550921407991884,-0.00824715896555335,0,-1.0036351317822978,0.9041227451922766,1.934006746149324,-0.2850131531855554
1,7,101776,1,0,0,0,1,1,0,0,-0.6826396178888037,0.23448925107968377,-0.5779172367012353,-0.268921825516625,1,-0.34438868010088847,-0.1394685523859095,0.6314604989887566,-0.838457908223799,-0.6980920677581981,0.16509204973152805,0.056943514243038514,-0.5837701395472165,0,-1.0036351317822978,0.9041227451922766,1.934006746149324,-0.2850131531855554
1,7,101776,1,0,0,1,1,1,1,0,-1.203216841462983,0.08839233640387882,0.22668994820690505,0.07926831147454716,0,-0.34438868010088847,-0.1394685523859095,-0.07835450583989341,1.4697468953432644,-0.32142841774100983,0.16509204973152805,0.6689791248731868,1.142798003626478,0,-1.0036351317822978,0.9041227451922766,1.934006746149324,-0.2850131531855554
1,7,101885,1,1,1,1,1,1,1,1,-0.16206231830343526,-0.934286066326756,-0.5779172367012353,-0.268921825516625,1,-0.34438868010088847,1.282437081930887,-0.07835450583989341,0.7003453340785698,0.8085628914889799,0.9816224921269976,-2.0851812821057627,1.142798003626478,1,-0.1828891285359383,0.08360486266253755,0.24266391897237174,-0.17458067144698314
1,7,101885,1,1,1,1,1,1,0,1,0.011463435556489342,-0.934286066326756,0.548532790014237,-0.268921825516625,1,-0.34438868010088847,-0.1394685523859095,0.27655349778699007,0.31564449355973273,0.4318992115402563,0.9816224921269976,-0.8611099572172822,0.5672750099534821,1,-0.1828891285359383,0.08360486266253755,0.24266391897237174,-0.17458067144698314
